timestamp,detected_text,target_found
2025-09-03T23:14:01.412722,- 7,False
2025-09-03T23:14:02.067039,¢ | ; fi x4,False
2025-09-03T23:14:02.782603,a 7 “ais 4 .,False
2025-09-03T23:14:03.590891,a | é _~,False
2025-09-03T23:14:04.374914,ae — ao ae a = 5) ze in : . = : -*,False
2025-09-03T23:14:05.074580,3 <a F 4,False
2025-09-03T23:14:05.759471,x a ?,False
2025-09-03T23:14:06.357537,,False
2025-09-03T23:14:07.253501,es |,False
2025-09-03T23:14:07.939770,= & ow * .,False
2025-09-03T23:14:08.847300,2 |,False
2025-09-03T23:14:09.873343,,False
2025-09-03T23:14:10.975357,fe |,False
2025-09-03T23:14:11.906743,|,False
2025-09-03T23:14:12.837422,se |,False
2025-09-03T23:14:13.710534,s Li x: LZ,False
2025-09-03T23:14:14.387940,| —_ | % | ee,False
2025-09-03T23:14:15.041742,,False
2025-09-03T23:14:15.802325,ee — == —— > ‘s,False
2025-09-03T23:14:16.735650,“Si eg >. ane Sa a - a =,False
2025-09-03T23:14:17.609451,oo = ‘ a a” = ht ag pec Ucar =,False
2025-09-03T23:14:18.583147,— —_ “ — ja ea oe ae q |,False
2025-09-03T23:14:19.628593,"a —_— a, be a = aa | + “3 | EF a: o® : * ese } Omg te ts",False
2025-09-03T23:14:20.329716,E | _ 2 4 . a: | at ee,False
2025-09-03T23:14:21.248339,a a is ss ae y i _ £ . xs ie 4 —- | a zi “a 4,False
2025-09-03T23:14:21.974319,"= - 7 —- Se t , oes , - | a eee",False
2025-09-03T23:14:22.654709,|,False
2025-09-03T23:14:23.493510,_ = : : eas ) ~-. j *,False
2025-09-03T23:14:24.099205,|,False
2025-09-03T23:14:24.740267,,False
2025-09-03T23:14:25.642449,<a ——- 5 : -™ — bo ws oe : sh re —,False
2025-09-03T23:14:26.376360,a i a | —- ‘y = : po = F aie,False
2025-09-03T23:14:27.164228,ated ‘Ye — j ae eae,False
2025-09-03T23:14:27.869458,es = = | : Be — pas ee a ’,False
2025-09-03T23:14:28.435640,,False
2025-09-03T23:14:29.763166,"a + r in ; ene, begs ee * Be",False
2025-09-03T23:14:30.649423,|,False
2025-09-03T23:14:31.497693,y i : 5 ee roe i= © wig Se \,False
2025-09-03T23:14:32.156041,ry —_ — y 7 “< “,False
2025-09-03T23:14:32.839954,ec © a a aa as - a =,False
2025-09-03T23:14:34.282200,=,False
2025-09-03T23:14:35.114100,a j ae ae a 2,False
2025-09-03T23:14:36.155396,ee a ae . |,False
2025-09-03T23:14:36.913483,res.” HELLO ge,True
2025-09-03T23:14:41.186914,x: 4,False
2025-09-03T23:14:41.991103,ee ech,False
2025-09-03T23:14:42.874739,> a te ae 5 oe z = =,False
2025-09-03T23:14:43.543269,a se %: Qe Ree ae -3 ~ / a1,False
2025-09-03T23:14:44.409810,ee eee bd + ; FJ a ie | wa,False
2025-09-03T23:14:45.217780,qi Se a Se ee Se HE CL ace a = sf 1 ‘aie,False
2025-09-03T23:14:45.976784,1: Leo < See :,False
2025-09-03T23:14:46.886389,Sag: ea eee ete i oa = x ss Ee ie HELLO pot aee: ” |,True
2025-09-03T23:14:48.179652,‘,False
2025-09-03T23:14:48.863393,HELLO eee.,True
2025-09-03T23:14:49.583055,HELLO .,True
2025-09-03T23:14:50.223158,,False
2025-09-03T23:14:51.137883,we LEO x -. ig. se ee) :,False
2025-09-03T23:14:51.896331,", .",False
2025-09-03T23:14:52.674169,.,False
2025-09-03T23:14:53.390141,HELLO i,True
2025-09-03T23:14:54.797957,. |,False
2025-09-03T23:14:55.524545,: .,False
2025-09-03T23:14:56.350280,.,False
2025-09-03T23:14:57.485252,[: >,False
2025-09-03T23:14:58.201251,a - | fa,False
2025-09-03T23:14:58.972745,,False
2025-09-03T23:14:59.902708,ofa |,False
2025-09-03T23:15:00.891032,ee | |,False
2025-09-03T23:15:01.796398,fe |,False
2025-09-03T23:15:02.878805,fe |,False
2025-09-03T23:15:03.905026,eo |,False
2025-09-03T23:15:04.934475,se |,False
2025-09-03T23:15:05.982211,se |,False
2025-09-03T23:15:06.858830,_s |,False
2025-09-03T23:15:07.980112,2 |,False
2025-09-03T23:15:08.925121,", os ig oe Ss. % * ;",False
2025-09-03T23:15:09.680209,j |,False
2025-09-03T23:15:10.745363,.,False
2025-09-03T23:15:11.400594,,False
2025-09-03T23:15:12.331920,ahs ee,False
2025-09-03T23:15:13.044104,_— t { HL LE6 | ~N | oe = a i,False
2025-09-03T23:15:13.757591,,False
2025-09-03T23:15:14.846266,-_ OJISH,False
2025-09-03T23:15:15.521042,BWELSO ~*~,False
2025-09-03T23:15:16.262103,WE LL Le),False
2025-09-03T23:15:16.954529,HE LL O HELLO,True
2025-09-03T23:15:18.649403,", HELLO es",True
2025-09-03T23:15:19.520461,OJSSH,False
2025-09-03T23:15:20.134853,QWISH,False
2025-09-03T23:15:20.933765,,False
2025-09-03T23:15:21.885200,HELLO et,True
2025-09-03T23:15:22.800964,+S,False
2025-09-03T23:15:23.787585,eee ae ee ee 23s See F a fe ae a ay — E,False
2025-09-03T23:15:24.716049,— a He FEL ms —— Ss S a ha tell he th. MJ $n Jj,False
2025-09-03T23:15:25.414245,HELLS |,False
2025-09-03T23:15:26.113955,HELLO = },True
2025-09-03T23:15:27.394796,} | { \ J \ 1 1 + UU. io — > { { eS oe,False
2025-09-03T23:15:28.194118,+? > i a FF eee fe : % a s .- * 4,False
2025-09-03T23:15:28.940914,: “~ | f b,False
2025-09-03T23:15:29.618154,Gr eee <9 \ imc 3 an | foe,False
2025-09-03T23:15:30.463250,HELLO,True
2025-09-03T23:15:31.260759,"——s | , \ A —— a a oe ~ >»",False
2025-09-03T23:15:32.104839,ee o “ at = = : \ : \ ™ \ > a 7 ¥ Po ae ge ae! I~ +\ 7,False
2025-09-03T23:15:32.912572,"p< 4 . "" q ns, a Po 2 i Pe ee ~9~. = a ' r aa s",False
2025-09-03T23:15:33.570647,* g >> ee in,False
2025-09-03T23:15:34.639625,wf |,False
2025-09-03T23:15:35.599213,£ |,False
2025-09-03T23:15:36.618898,SS |,False
2025-09-03T23:15:37.706393,LS |,False
2025-09-03T23:15:38.715788,,False
2025-09-03T23:15:40.292847,S|,False
2025-09-03T23:15:40.951542,,False
2025-09-03T23:15:41.658764,,False
2025-09-03T23:15:42.638008,£. |,False
2025-09-03T23:15:43.509996,£ |,False
2025-09-03T23:15:44.210576,* ;,False
2025-09-03T23:15:45.092975,£. |,False
2025-09-03T23:15:46.015529,£. |,False
2025-09-03T23:15:46.846898,£ |,False
2025-09-03T23:15:47.587748,>>s | Be },False
2025-09-03T23:15:48.189598,,False
2025-09-03T23:15:49.023054,S|,False
2025-09-03T23:15:49.898585,2S |,False
2025-09-03T23:15:50.796103,Ss |,False
2025-09-03T23:15:51.733273,Ss |,False
2025-09-03T23:15:52.395186,q rT a,False
2025-09-03T23:15:53.231104,S|,False
2025-09-03T23:15:54.425835,£ |,False
2025-09-03T23:15:55.018520,|,False
2025-09-03T23:15:55.687153,=. A +. = ze =,False
2025-09-03T23:15:56.800537,S|,False
2025-09-03T23:15:57.725081,f |,False
2025-09-03T23:15:58.673880,L |,False
2025-09-03T23:15:59.650726,L |,False
2025-09-03T23:16:00.754973,f |,False
2025-09-03T23:16:01.969077,£ |,False
2025-09-03T23:19:34.799585,S|,False
2025-09-03T23:19:36.087327,Ss |,False
2025-09-03T23:19:37.085698,cae . am | ~ } 4,False
2025-09-03T23:19:37.832157,f ' . a a r],False
2025-09-03T23:19:38.671212,Ss — ' ; foe 4 } an = |,False
2025-09-03T23:19:39.600209,‘jd,False
2025-09-03T23:19:40.223309,= 4 — ] z y Fa ;,False
2025-09-03T23:19:40.790959,+ : ‘ - —,False
2025-09-03T23:19:41.664400,HELLO — > 2 — ‘ ‘aa : ‘ =a 4 j,True
2025-09-03T23:19:45.542461,,False
2025-09-03T23:19:46.144531,QJISN,False
2025-09-03T23:19:46.933206,= ‘ ; ; 7 P ‘ Ss ee INI WIJ IY Bj,False
2025-09-03T23:19:47.622987,,False
2025-09-03T23:19:48.223814,,False
2025-09-03T23:19:48.999397,ee OWAY,False
2025-09-03T23:19:49.768102,Ri 1 its 9 ’,False
2025-09-03T23:19:50.514809,ei clige,False
2025-09-03T23:19:51.400173,"ida ac, ; q",False
2025-09-03T23:19:52.143383,KAAS M ‘ |,False
2025-09-03T23:19:53.106586,\,False
2025-09-03T23:19:53.864768,Ss ‘ m =,False
2025-09-03T23:19:54.600586,HELCLOG - | Fai 2 ee | ae \,False
2025-09-03T23:19:55.302308,— ri . uw  <— _ _ —<— a *,False
2025-09-03T23:19:56.006786,ees PRE uo = = . —— Ps ns,False
2025-09-03T23:19:56.814965,= Te LL ONS,False
2025-09-03T23:19:57.582486,ti ce “_ oe = “a == bas ae . : o-,False
2025-09-03T23:19:58.370879,as ee ee ee ae yy - eee ‘s Ds 4 a © ba ~~ aes ~ oe,False
2025-09-03T23:19:59.042756,HE LEO,False
2025-09-03T23:19:59.996218,a Bei se oR een ar - ee ; gs as é Cee ae . ' somata a OS “33 Ba OIL “9 at “Su,False
2025-09-03T23:20:00.946570,; - eee Rew as — a ae ee ae war. ee ne > se a a. “Sa ag a.,False
2025-09-03T23:20:01.989854,$k oe ee : Se eee Pa ew eae iy ch = “a = —* - an . ot ay + a ft ’ + . = 2 P rs. oa th » ag,False
2025-09-03T23:20:03.082590,"a Figs pet _ eee eee ER eee ee oS 5 oS Oe See ,) ee vt ‘ "" *4s See c == a",False
2025-09-03T23:20:04.326058,"sf: Rar ‘S z Py anal bina aoe = = sor . e - oe ae HE * Lo '; ae ‘ arcs. ese i ee | zi ao, * re < | ONY 2",False
2025-09-03T23:20:05.247939,ee,False
2025-09-03T23:20:06.390231,"< “See e Ra, ae X J",False
2025-09-03T23:20:07.526449,ae ™ ~ae - er te ee ee oS — HELE Gee f ‘ 4 em os 4 i,False
2025-09-03T23:20:08.221127,,False
2025-09-03T23:20:09.035431,ask.,False
2025-09-03T23:20:09.723114,= HE CL Ge Se cs,False
2025-09-03T23:20:10.457976,HE COG i 4 a. ig,False
2025-09-03T23:20:11.240647,We LES i eres HELO x \ } \ a ; at o 2 bags 3,False
2025-09-03T23:20:11.878343,HELLO,True
2025-09-03T23:20:13.582460,HELLS [{) ee ae a,False
2025-09-03T23:20:14.373731,"HELLO t+ | , oo | | < eee 7",True
2025-09-03T23:20:15.253403,We LES j jae | \ ' Hes bie: L ee a ” Ns ; ee:,False
2025-09-03T23:20:15.956285,he LISS,False
2025-09-03T23:20:16.750112,"ae, € t. o 2 — pee _&",False
2025-09-03T23:20:17.602315,"ie ""I :",False
2025-09-03T23:20:18.490133,£. |,False
2025-09-03T23:20:19.212174,se P a. ~,False
2025-09-03T23:20:20.094653,"| a i i Fe - < * , P “ Sa - % =",False
2025-09-03T23:20:21.400498,S|,False
2025-09-03T23:20:22.518076,2,False
2025-09-03T23:20:23.736896,2 |,False
2025-09-03T23:20:24.988865,2 |,False
2025-09-03T23:20:26.208419,2. |,False
2025-09-03T23:20:27.514604,j e : ' ‘| ° “ 2 ¢ - ; & i = *,False
2025-09-03T23:20:28.919374,s |,False
2025-09-03T23:20:30.475769,_@ |,False
2025-09-03T23:20:31.927782,q - 2 |,False
2025-09-03T23:20:33.447132,rr.,False
2025-09-03T23:20:35.189553,7 % | *,False
2025-09-03T23:20:36.900194,re],False
2025-09-03T23:20:38.301943,. — —a - _ z so * Ps F 4 ra a |,False
2025-09-03T23:20:39.513181,‘ a = oe “ — 1 x Pr),False
2025-09-03T23:20:40.378529,» £ . a -,False
2025-09-03T23:20:41.526449,s |,False
2025-09-03T23:20:42.634997,S|,False
2025-09-03T23:20:43.652429,* é anal Es J,False
2025-09-03T23:20:45.255155,re],False
2025-09-03T23:20:46.165384,,False
2025-09-03T23:20:47.427024,re?,False
